animeTitle	Sore Ike! Anpanman: Kokin-chan to Namida no Christmas
animeType	Special
animeNumEpisode	1
releaseDate	2007-12-21 00:00:00
endDate	
animeNumMembers	216
animeScore	
animeUsers	
animeRank	13485
animePopularity	15749
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Sore Ike! Anpanman']
animeCharacters	['Anpanman', 'Baikinman', 'Cheese', 'Currypanman', 'Horrorman', 'Dokin-chan', 'Shokupanman', 'Melonpanna', 'Oji-san, Jam', 'Creampanda']
animeVoices	['Toda, Keiko', 'Nakao, Ryusei', 'Yamadera, Kouichi', 'Yanagisawa, Michiyo', 'Kimotsuki, Kaneta', 'Tsuru, Hiromi', 'Shimamoto, Sumi', 'Kanai, Mika', 'Masuoka, Hiroshi', 'Nagasawa, Miki']
animeStaff	[['Yanase, Takashi', 'Original Creator']]
