animeTitle	Mahou no Princess Minky Momo: Yume wo Dakishimete
animeType	TV
animeNumEpisode	62
releaseDate	
endDate	
animeNumMembers	
animeScore	6.69
animeUsers	621
animeRank	
animePopularity	9037
animeDescription	After the events of the 1st series, Fenarinarsa continues to drift from Earth, so the King asks for help from the kingdom, Marinarsa, to send their daughter, Momo (Who is identical to the 1st one) to Earth to regain humanity's faith in their dreams. 
animeRelated	['Mahou no Princess Minky Momo', 'Minky Momo in Tabidachi no Eki', 'Mahou no Princess Minky Momo: Yume wo Dakishimete Specials']
animeCharacters	['Momo']
animeVoices	['Hayashibara, Megumi']
animeStaff	[['Yuyama, Kunihiko', 'Director, Storyboard, Screenplay'], ['Kato, Takao', 'Episode Director, Storyboard'], ['Fujimoto, Yoshitaka', 'Episode Director, Storyboard'], ['Watanabe, Hiroshi', 'Episode Director, Storyboard, Character Design, Animation Director']]
