animeTitle	Kawaikereba Hentai demo Suki ni Natte Kuremasu ka?
animeType	TV
animeNumEpisode	12
releaseDate	2019-07-08 00:00:00
endDate	2019-09-23 00:00:00
animeNumMembers	243246
animeScore	6.56
animeUsers	113497
animeRank	5803
animePopularity	736
animeDescription	"As far as it goes, many boys, especially in their teenage years, want to have a girlfriend. Keiki Kiryuu is no exception. One eventful afternoon, his days of yearning for a lover seem to come to an end when he receives a love letter from an anonymous sender—along with a pair of white panties. 

To determine the identity of his secret admirer, referred to as Cinderella, he proceeds to investigate several possible candidates including his senior Sayuki Tokihara, his underclassman Yuika Koga, and his classmate Mao Nanjou. However, as Keiki seeks to uncover who this mystery girl might be, he comes to know about the perverted fetishes hidden behind each candidate's innocent exteriors...

[Written by MAL Rewrite]
"
animeRelated	['Kawaikereba Hentai demo Suki ni Natte Kuremasu ka?']
animeCharacters	"['Tokihara, Sayuki', 'Kiryuu, Mizuha', 'Koga, Yuika', 'Nanjou, Mao', 'Kiryuu, Keiki', 'Ootori, Koharu', 'Fujimoto, Ayano', 'Akiyama, Shouma', 'Angel Keiki', ""Vegetarian's Owner""]"
animeVoices	['Taketatsu, Ayana', 'Hondo, Kaede', 'Hidaka, Rina', 'Nomizu, Iori', 'Shimono, Hiro', 'Ohashi, Ayaka', 'Haruno, Anzu', 'Koumoto, Keisuke', 'Nitta, Hiyori']
animeStaff	[['Imazaki, Itsuki', 'Director'], ['Ebina, Yasunori', 'Sound Director'], ['Kuramori, Rokurou', 'Episode Director'], ['Yamashita, Kenichi', 'Script, Series Composition']]
