animeTitle	Eiyuu Gaiden Mozaicka
animeType	OVA
animeNumEpisode	4
releaseDate	1991-11-21 00:00:00
endDate	1991-12-21 00:00:00
animeNumMembers	
animeScore	5.95
animeUsers	361
animeRank	
animePopularity	10550
animeDescription	From Ryosuke Takahashi and Norio Shioyama, the creative minds behind great animes such as Armored Trooper VOTOMs and Panzer World Galient, comes an epic tale of swords and sorcery! On the eternal planet of Mozaika, the formerly benevolent King Sazara has been possessed by an evil priest and has begun a bloody path of conquest all across the world! Mozaika's only hope is the young warrior U-Taruma, son of U-Dante, one of Sazara's victims. If you like fantasy, or classic Norio Shioyama character designs, you can't miss this 4-episode OVA!
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
