animeTitle	b'Wake Up, Girls!'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.98
animeUsers	16550
animeRank	
animePopularity	
animeDescription	b'On Christmas 2013, the band Wake Up, Girls plays their debut song to a small audience without much fanfare. After the concert, the group\xe2\x80\x99s manager takes off with the money, leaving Green Leaves Entertainment on the verge of closure and the band without a future.\n\nDespite this tumultuous beginning, the girls get a second chance, thanks to a mysterious benefactor and a shady business proposal. From here it\xe2\x80\x99s a rocky climb to the top, but it\xe2\x80\x99s a climb the girls are ready to make. Wake Up, Girls! follows the internal and external struggles of being a small-time idol girl band, from finding and accepting gigs to competing in popularity against other pop bands.\n\nThrough the band, the girls come to accept their pasts and become more certain about their futures. Faced with increasing stakes and popularity, each of the band\xe2\x80\x99s seven members must find the strength and courage inside herself to give her all to the band.'
animeRelated	[b'Wake Up, Girls!', b'Wake Up, Girls! Shichinin no Idol', b'Wake Up, Girl Zoo!', b'Wake Up, Girls! Seishun no Kage']
animeCharacters	[b'Shimada, Mayu', b'Okamoto, Miyu', b'Katayama, Minami', b'Nanase, Yoshino', b'Kikuma, Kaya', b'Hisami, Nanami', b'Hayashida, Airi', b'Tange, Junko', b'Oota, Kuniyoshi', b'Yoshikawa, Megumi']
animeVoices	[b'\nYoshioka, Mayu\nJapanese\n', b'\nTakagi, Miyu\nJapanese\n', b'\nTanaka, Minami\nJapanese\n', b'\nAoyama, Yoshino\nJapanese\n', b'\nOkuno, Kaya\nJapanese\n', b'\nYamashita, Nanami\nJapanese\n', b'\nEino, Airi\nJapanese\n', b'\nHidaka, Noriko\nJapanese\n', b'\nShimono, Hiro\nJapanese\n', b'\nTsuda, Minami\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYamamoto, Yutaka\n\nDirector, Episode Director, Storyboard, Theme Song Lyrics, Original Creator\n\n', b'\nKikuta, Hiromi\n\nSound Director\n\n', b'\nNakayama, Naomi\n\nEpisode Director, Storyboard\n\n', b'\nAritomi, Kouji\n\nEpisode Director\n\n']
