animeTitle	Tenuto
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	16772
animeDescription	"Music video directed by Kousuke Sugimoto for the song Tenuto by Handsome Kenya on the mini album ""Black Frame."" The album had two releases, one which included a bonus DVD featuring this music video and a short documentary about Handsome Kenya. The music video was posted on YouTube along with a preview of the documentary in a single video. This entry only accounts for the runtime of the music video."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
