animeTitle	Drifters: Kokuou-sama Goranshin
animeType	Special
animeNumEpisode	1
releaseDate	2016-12-30 00:00:00
endDate	
animeNumMembers	4675
animeScore	5.64
animeUsers	937
animeRank	9933
animePopularity	7207
animeDescription	Short parody special released with Blu-ray BOX.
animeRelated	['Drifters', 'Drifters (OVA): Kokuou-sama Goranshin']
animeCharacters	['The Black King', 'dArc, Jeanne', 'Gilles de Rais', 'Romanova, Anastasia Nikolaevna', 'Hijikata, Toshizou', 'Rasputin, Grigori']
animeVoices	['Kusunoki, Taiten', 'Minagawa, Junko', 'Nomura, Kenji', 'Kitanishi, Junko', 'Yasumoto, Hiroki', 'Tanaka, Masahiko']
animeStaff	[['Hirano, Kouta', 'Original Creator']]
