animeTitle	b'Shadowverse'
animeType	b'ONA'
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	5.88
animeUsers	154
animeRank	
animePopularity	
animeDescription	"b""Assorted animated videos for Cygames' Shadowverse digital TCG. Japanese and English versions of these animated features were released on the same day on Cygames' official YouTube channel and at a later date on the Shadowverse's official YouTube channel."""
animeRelated	[b'Shadowverse: Arisa Duelverse', b'Shadowverse (TV)']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
