animeTitle	Sousei no Aquarion
animeType	TV
animeNumEpisode	26
releaseDate	2005-04-05 00:00:00
endDate	2005-09-27 00:00:00
animeNumMembers	
animeScore	7.1
animeUsers	28067
animeRank	
animePopularity	2037
animeDescription	"Once upon a time, a race known as the Shadow Angels attacked Earth to harvest the life force of all those who inhabited the planet. Thanks to some outrageous miracle, the Shadow Angels went dormant, and humanity was able to live another 12,000 years without fearing their presence. But 11 years after a catastrophe dubbed the Holy Genesis brought ruin to the Earth, the Shadow Angels were stirred from their slumber and resumed the attacks once more.

To give humanity somewhat of a chance, an organization known as DEAVA was formed, and use of a robotic weapon named Aquarion has been authorized. In order for the Aquarion to be brought to full power, three pilots must combine their hearts, bodies, and souls into one—a feat few can hope to accomplish. Thus, the search for so-called 'Element Users' was prioritised, hoping to ensure humanity's future.

Sousei no Aquarion follows the story of Apollo, a near-feral young man brought up in poverty, who is believed to be a legendary hero reincarnated. After his best friend is taken by the Shadow Angels, Apollo chooses to become an Aquarion pilot. Will he be able to turn the tides of the war, and free humanity from the threat of the Shadow Angels for once and for all?"
animeRelated	['Sousei no Aquarion: Mirai Shinwa', 'Sousei no Aquarion: Kokuu no Tenshi', 'Sousei no Aquarion OVA', 'Aquarion Movie: Ippatsu Gyakuten-hen', 'Soosee no Aquarion: Dai 27-wa Parallel-ban', 'Aquarion Evol', 'Sousei no Aquarion Evol']
animeCharacters	['Apollo', 'de Alisia, Silvia', 'de Alisia, Sirius', 'Fudou, Gen', 'Toma', 'Apollonius', 'Rune, Rena', 'Ko, Reika', 'Baron', 'Celiane']
animeVoices	['Terashima, Takuma', 'Kakazu, Yumi', 'Sugita, Tomokazu', 'Ishizuka, Unshou', 'Morikawa, Toshiyuki', 'Satou, Hiromi', 'Kobayashi, Sanae', 'Chiba, Susumu']
animeStaff	[['Cook, Justin', 'Producer'], ['Harp, Clarine', 'Producer'], ['Kawamori, Shouji', 'Director, Storyboard, Key Animation, Original Creator, Series Composition, Mechanical Design, Screenplay'], ['Tonokatsu, Hideki', 'Director, Episode Director, Storyboard']]
