animeTitle	Null Peta
animeType	ONA
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.4
animeUsers	7722
animeRank	
animePopularity	4031
animeDescription	"Genius inventor Null tragically loses her older sister Peta in an accident. To get over the grief, Null develops ""Peta Robo,"" a robot with the same characteristics as her late sister. However, the robot is a little different as to what Null expected.

(Source: MAL News)"
animeRelated	['Null Peta Special']
animeCharacters	['Peta', 'Null', 'Kaki']
animeVoices	['Ueda, Reina', 'Waki, Azumi', 'Yamamoto, Maki']
animeStaff	[['Ogura, Hirofumi', 'Director'], ['Aketagawa, Jin', 'Sound Director'], ['Hato', 'Script, Original Creator'], ['Takeshima, Eku', 'Original Character Design']]
