animeTitle	b'Suhoyojeong Michel'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	6.36
animeUsers	154
animeRank	
animePopularity	
animeDescription	"b""A girl named Kim chases a group of thieves called the Black Hammer Gang. Until one day the Black Hammer gang and Kim fall on an island inhabited by fairies and it's guardian Michel. The Black Hammer Gang tries to steal the life source of the island called the tree of life. Causing damage to the land and kidnapping the fairies, Michel and Kim have to combat the Black Hammer gang and take back the fairies.\n\n(Source: ANN)"""
animeRelated	[]
animeCharacters	[b'Salome', b'Kim', b'Michel']
animeVoices	[]
animeStaff	[]
