animeTitle	La Vilaine LuLu
animeType	Special
animeNumEpisode	13
releaseDate	2009-04-04 00:00:00
endDate	2009-06-27 00:00:00
animeNumMembers	217
animeScore	
animeUsers	
animeRank	16993
animePopularity	15734
animeDescription	Based on a picture book by the late fashion icon Yves Saint-Laurent. Saint-Laurent originally created the cartoons in his picture book in 1956, when he was a 20-year-old working for the Christian Dior haute couturier. The cartoons follow the bizarre fantasies of a mischievous girl named Lulu.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
