animeTitle	Seton Doubutsuki: Kuma no Ko Jacky
animeType	TV
animeNumEpisode	26
releaseDate	1977-06-07 00:00:00
endDate	1977-12-16 00:00:00
animeNumMembers	
animeScore	6.69
animeUsers	826
animeRank	
animePopularity	9678
animeDescription	"One day a native American boy named Lan meets two little bears at the foot of the Sierra Nevada, where he lives with his father.
Lan names the brother bear ‘Jacky’ and the sister bear ‘Jill’. As Lan plays with the two bears, they become good friends. However their happiness doesn’t last for long. Lan’s father accidentally shoots the two little bears’ mother to death. Feeling sorry for them, Lan decides to take Jackie and Jill back home to live with him.

(Source: AniDB)"
animeRelated	['Seton Doubutsuki']
animeCharacters	['Keruyan', 'Jacky', 'Ran', 'Jill', 'Rocky Ojii-san', 'Alice']
animeVoices	['Hazumi, Jun', 'Tsukase, Noriko', 'Matsuo, Yoshiko', 'Yokozawa, Keiko', 'Nagai, Ichiro', 'Inoue, You']
animeStaff	[['Kuroda, Yoshio', 'Director'], ['Nakanishi, Ryuuzou', 'Script'], ['Okuda, Seiji', 'Storyboard'], ['Saitou, Hiroshi', 'Storyboard']]
