animeTitle	Tengen Toppa Gurren Lagann: Ore no Gurren wa Pikka-Pika!!
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.77
animeUsers	14240
animeRank	
animePopularity	3208
animeDescription	"A special episode bundled with the Nintendo DS game based on the series. Envious of seeing how Simon keeps his Lagann clean and neat, Kamina asks the mysterious Chitori to clean up his Gurren for him, unaware of her true intentions.

(Source: Wikipedia) "
animeRelated	['Tengen Toppa Gurren Lagann']
animeCharacters	['Kamina', 'Simon', 'Littner, Yoko', 'Boota', 'Littner, Leeron', 'Adai, Rossiu', 'Adai, Darry', 'Adai, Gimmy', 'Chitori', 'Jigitalis']
animeVoices	['Konishi, Katsuyuki', 'Kakihara, Tetsuya', 'Inoue, Marina', 'Itou, Shizuka', 'Saiga, Mitsuki', 'Kadowaki, Mai', 'Miyashita, Eiji']
animeStaff	[['Kamagata, Eiichi', 'Producer'], ['Yamakawa, Norio', 'Producer'], ['Nakashima, Kazuki', 'Script'], ['Iwasaki, Taku', 'Music']]
