animeTitle	Ebiten: Kouritsu Ebisugawa Koukou Tenmonbu OVA
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.33
animeUsers	1871
animeRank	
animePopularity	6889
animeDescription	Blu-ray disc bundled with the fourth volume of the manga.
animeRelated	['Ebiten: Kouritsu Ebisugawa Koukou Tenmon-bu', 'Ebiten: Kouritsu Ebisugawa Koukou Tenmonbu']
animeCharacters	['Kanamori, Hakata', 'Todayama, Kyouko', 'Hiromatsu, Rikei', 'Noya, Itsuki', 'Todayama, Izumiko', 'Ooba, Hasumi', 'Oomori, Shouko', 'Iseda, Yuka']
animeVoices	['Nishi, Asuka', 'Asumi, Kana', 'Murai, Risako', 'Ise, Mariya', 'Nomizu, Iori', 'Satou, Satomi', 'Nazuka, Kaori', 'Tsukimiya, Midori']
animeStaff	[['Nomizu, Iori', 'Theme Song Performance'], ['Nishi, Asuka', 'Theme Song Performance'], ['Tsukimiya, Midori', 'Theme Song Performance'], ['Murai, Risako', 'Theme Song Performance']]
