animeTitle	Kotencotenco
animeType	TV
animeNumEpisode	52
releaseDate	2005-10-06 00:00:00
endDate	2006-09-28 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14613
animeDescription	"Kotencotenco is a gag strip anime for young children featuring the flourishes of the Prince of the country of the Paradice, Kotenco.

Kotenco guards the “Angel Star” for the Queen in the Paradice. Kotenco is a very good child, but when the bad spirits rise, Kotenco transforms into Matenco. Unlike Kotenco, Matenco is a very naughty child and troubles everyone. But don't worry! By changing the angel ring, Matenco goes back to being Kotenco. Will Kotenco be able to guard the “Angel Star” from the ruler and the Devil of the Country of the Ground, who is aiming for the Paradice? "
animeRelated	[]
animeCharacters	['Kotenco', 'Pick-chan', 'Matenco', 'Urusainu', 'Dawn', 'The Baron', 'Petendakku', 'The Queen', 'Nekoumori', 'Nappa']
animeVoices	['Itou, Miyako', 'Omae, Akane', 'Nakata, Kazuhiro', 'Katsu, Anri', 'Ishimatsu, Chiemi', 'Mizuta, Wasabi']
animeStaff	[['Watanabe, Momo', 'Theme Song Lyrics'], ['Yokoyama, Masakazu', 'Sound Effects'], ['Kouno, Jirou', 'Art Director'], ['Hayama, Kenji', 'Character Design']]
