animeTitle	b'Oz no Mahoutsukai'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.78
animeUsers	290
animeRank	
animePopularity	
animeDescription	b'A captivating completely animated version of a timeless classic, The Wizard of Oz. Journey down the yellow brick road alongside Dorothy, her little dog Toto, the Scarecrow, the Tin Woodsman, and of course, the Cowardly Lion as they search for the Great and Powerful Wizard of Oz. On their way, they are interrupted by the Witch of the West, her wolf and crow henchmen but Dorothy and her friends rise above their evil and discover the truth about the Wizard of Oz. This joyful  adaptation is well suited for young children.\n\n(Source: DVD blurb)'
animeRelated	[b'Oz no Mahoutsukai (1986)']
animeCharacters	[b'Gale, Dorothy']
animeVoices	[b'\nOkamoto, Mari\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nTakayama, Fumihiko\n\nEpisode Director\n\n', b'\nQuinn, Aileen\n\nTheme Song Performance\n\n', b'\nHisaishi, Joe\n\nMusic\n\n', b'\nBaum, Lyman Frank\n\nOriginal Creator\n\n']
