animeTitle	Chou Tokkyuu Hikarian
animeType	TV
animeNumEpisode	156
releaseDate	1997-04-02 00:00:00
endDate	2000-03-29 00:00:00
animeNumMembers	680
animeScore	6.18
animeUsers	231
animeRank	7765
animePopularity	12134
animeDescription	"Chou Tokkyuu Hikarian is about a series of bullet trains that are turned into robots. The robots, along with two humans named Tetsuyuki Shinbashi and Minayo Kanda, have to stop an alien invasion.

(Source: Wikipedia)"
animeRelated	['Denkou Chou Tokkyuu Hikarian']
animeCharacters	['Tsubasa', 'DD51', 'Super Hokuto']
animeVoices	['Nanao, Haruhi']
animeStaff	[['Kanada, Yoshinori', 'Episode Director, Storyboard, Animation Director'], ['Kuroda, Yousuke', 'Script'], ['Ooshiro, Tsutomu', 'Key Animation'], ['Hayashi, Yuzo', 'Music']]
