animeTitle	Yuuyake Banchou
animeType	TV
animeNumEpisode	26
releaseDate	1968-09-30 00:00:00
endDate	1969-03-29 00:00:00
animeNumMembers	410
animeScore	
animeUsers	
animeRank	14571
animePopularity	13509
animeDescription	"A transfer student only just arrives and is confronted by the school gang. One by one he defeats the gang members and challenges their leader to a fight. Each 10 minute episode aired Monday through Saturday. 

(Source: AniDB) "
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
