animeTitle	Bouken Shounen Shadar
animeType	TV
animeNumEpisode	156
releaseDate	1967-09-18 00:00:00
endDate	1968-03-16 00:00:00
animeNumMembers	544
animeScore	
animeUsers	
animeRank	15060
animePopularity	12720
animeDescription	"When Earth is threatened by the invading Ghostar, a young boy with nerves of steel and the strength of 50 men appears from a cave on Mount Fuji. He is Shadar, a boy of unknown origin who, with his faithful dog, Pinboke, fights to save the world. 

(Source: The Anime Encyclopedia) "
animeRelated	[]
animeCharacters	['Loco', 'Shadar']
animeVoices	['Houjou, Michiru']
animeStaff	[['Terayama, Shuuji', 'Theme Song Lyrics'], ['Okamoto, Mitsuteru', 'Original Creator']]
