animeTitle	MaxValu Kyushu
animeType	Special
animeNumEpisode	1
releaseDate	2008-11-01 00:00:00
endDate	
animeNumMembers	202
animeScore	
animeUsers	
animeRank	17232
animePopularity	16068
animeDescription	An animated commercial for the supermarket chain MaxValu Kyushu Co., Ltd., as indicated by the name, they are located in all of Kyushu except for Okinawa. This coincided with their reusable shopping bag campaign.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
