animeTitle	Shabake
animeType	ONA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14872
animeDescription	Special produced to celebrate the 20th anniversary of the Shabake novel series.
animeRelated	[]
animeCharacters	['Wakadanna', 'Suzuhiko-hime', 'Byoubunozoki', 'Sasuke', 'Nikichi']
animeVoices	['Enoki, Junya', 'Kanemoto, Hisako', 'Kimura, Ryouhei', 'Azakami, Youhei', 'Uchiyama, Kouki']
animeStaff	[['Itou, Hideki', 'Director'], ['Wada, Kaoru', 'Music']]
