animeTitle	Banana Fish
animeType	TV
animeNumEpisode	24
releaseDate	2018-07-06 00:00:00
endDate	2018-12-21 00:00:00
animeNumMembers	
animeScore	8.51
animeUsers	248408
animeRank	
animePopularity	233
animeDescription	"Aslan Jade Callenreese, known as Ash Lynx, was a runaway picked off the streets of New York City and raised by the infamous godfather of the mafia, Dino Golzine. Now 17 years old and the boss of his own gang, Ash begins investigating the mysterious ""Banana Fish""—the same two words his older brother, Griffin, has muttered since his return from the Iraq War. However, his inquiries are hindered when Dino sends his men after Ash at an underground bar he uses as a hideout.

At the bar, Skip, Ash's friend, introduces him to Shunichi Ibe and his assistant, Eiji Okumura, who are Japanese photographers reporting on American street gangs. However, their conversation is interrupted when Shorter Wong, one of Ash's allies, calls to warn him about Dino. Soon, Dino's men storm the bar, and in the ensuing chaos kidnap Skip and Eiji. Now, Ash must find a way to rescue them and continue his investigation into Banana Fish, but will his history with the mafia prevent him from succeeding?

[Written by MAL Rewrite]"
animeRelated	['Banana Fish', 'Prayer X']
animeCharacters	['Callenreese, Aslan Jade', 'Okumura, Eiji', 'Wong, Shorter', 'Lee, Yut-Lung', 'Sing, Su Rin', 'Blanca', 'Lobo, Max', 'Bones', 'Randy, Jessica', 'Blood, Cain']
animeVoices	['Uchida, Yuuma', 'Nojima, Kenji', 'Furukawa, Makoto', 'Fukuyama, Jun', 'Chiba, Shouya', 'Morikawa, Toshiyuki', 'Hirata, Hiroaki', 'Fukami, Rica', 'Miyake, Kenta']
animeStaff	[['Utsumi, Hiroko', 'Director, Episode Director, Storyboard'], ['Yamada, Haru', 'Sound Director'], ['Shishido, Jun', 'Episode Director, Storyboard'], ['Ezaki, Shinpei', 'Episode Director']]
