animeTitle	Recorder to Randoseru Do♪
animeType	TV
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	6.67
animeUsers	23026
animeRank	
animePopularity	2529
animeDescription	"Atsushi Miyagawa is an 11-year-old boy with the appearance of a fully-grown man. His 17-year-old sister, Atsumi, has the stature of a child! From Atsushi being arrested numerous times as a suspected predator to Atsumi constantly grabbed like a small child more times than she can count, many things go wrong for this curious sibling duo. Atsumi's classmate is even in love with Atsushi, oblivious to his true age!  Despite all this, indeed, there is not a single dull moment in the Miyagawa household.

[Written by MAL Rewrite]"
animeRelated	['Recorder to Randoseru', 'Recorder to Randoseru Re♪']
animeCharacters	['Miyagawa, Atsushi', 'Miyagawa, Atsumi', 'Morita, Mayu', 'Takahashi, Sayo', 'Take-nii', 'Matsuzaka, Hana', 'Jun-chan', 'Kijima', 'Midori', 'Moriyama, Futami']
animeVoices	['Okiayu, Ryoutarou', 'Kugimiya, Rie', 'Hirano, Aya', 'Sakurai, Takahiro', 'Toujou, Sayako', 'Akesaka, Satomi', 'Kashiyama, Nanami', 'Tamiyasu, Tomoe']
animeStaff	[['Kimura, Hiroshi', 'Director, Episode Director'], ['Kawazoe, Kengo', 'Sound Director'], ['Karasuma, Ryou', 'Script, Screenplay'], ['Tada, Aoi', 'Theme Song Performance']]
