animeTitle	Shintaisou: Shin
animeType	OVA
animeNumEpisode	2
releaseDate	2005-06-24 00:00:00
endDate	2005-09-30 00:00:00
animeNumMembers	4605
animeScore	6.02
animeUsers	1801
animeRank	
animePopularity	7240
animeDescription	"There's a secret competition called ""dark rhythmic gymnastics"". The entrees complete their beauty and lewd by their technique more difficult than rhythmic gymnastics. 

Haneoka Fubuki is a little brother-in-low of Haneoka Miku who's been missing. While he is looking for his sister, he finds her at the house of Tomomi, Miku's classmate. Acceding to Tomomi, she is trapped in the dark side of ""dark rhythmic gymnastics"". In order to help her out, he resolves his mind to become a coach of ""dark rhythmic gymnastics"", and he gets close to Fujimiya Koyuki who was chosen by Tomomi not knowing his fate... 

(Source: AnimeNfo) "
animeRelated	['Shintaisou: Shin', 'Shintaisou: Kari']
animeCharacters	['Shirakawa, Tomomi']
animeVoices	['Hatamiya, Kanoko']
animeStaff	[['Okesawa, Hisashi', 'Director'], ['Mizuno, Kazunori', 'Director'], ['Kitamura, Tomoyuki', 'Key Animation'], ['Panda House', 'Original Creator']]
