animeTitle	The Siamese: First Mission
animeType	Movie
animeNumEpisode	1
releaseDate	2001-10-06 00:00:00
endDate	
animeNumMembers	378
animeScore	
animeUsers	
animeRank	13814
animePopularity	13748
animeDescription	"June and Naomi are a pair of two attractive women who both work as radio station DJs by day, but when night falls they are elite counter-terrorism agents under the code name The Siamese Cats. 

(Source: ANN) "
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
