animeTitle	Cyborg 009 (TV)
animeType	TV
animeNumEpisode	26
releaseDate	1968-04-05 00:00:00
endDate	1968-09-27 00:00:00
animeNumMembers	5613
animeScore	6.87
animeUsers	1635
animeRank	4319
animePopularity	6680
animeDescription	"They fight against evil, they help those in need, they're the Cyborg fighters! Together with the scientist Dr. Gilmore, this team of nine cyborgs use their special body modifications to fight against a seemingly endless barrage of enemies, including robotic crabs, aliens, and fellow cyborgs.

Each cyborg has his own special power, which they use in their fight against evil. Titular character 009 (aka Hurricane Joe, the famous race car driver) leads the team with his superhuman strength, resistance to bullets, and ability to accelerate through time. His teammates fight by his side to save humanity from falling into evil hands.

The team in Cyborg 009 faces many enemies and stops countless threats to their hometown, and even to Earth. No matter what, justice will be served.
"
animeRelated	['Cyborg 009', 'Cyborg 009: The Cyborg Soldier', 'Cyborg 009 (1979)', '009 Re:Cyborg', 'Cyborg 009: Call of Justice 1', 'Cyborg 009: Call of Justice 2', 'Cyborg 009: Call of Justice 3', 'Cyborg 009: The Reopening', 'Cyborg 009 VS Devilman']
animeCharacters	['Shimamura, Joe', 'Heinrich, Albert', 'Link, Jet', 'Arnoul, Françoise', 'Great Britain', 'Whisky, Ivan', 'Changku, Chang', 'Pyunma', 'Geronimo Jr.', 'Gilmore, Isaac']
animeVoices	['Mori, Katsuji', 'Ootake, Hiroshi', 'Suzuki, Hiroko', 'Soga, Machiko', 'Shiraishi, Fuyumi', 'Nagai, Ichiro', 'Noda, Keiichi', 'Masuoka, Hiroshi', 'Yanami, Jouji']
animeStaff	[['Tsuji, Masaki', 'Script'], ['Ishinomori, Shoutarou', 'Original Creator'], ['Kimura, Keiichiro', 'Animation Director'], ['Kosugi, Taichirou', 'Music']]
