animeTitle	Zhen Hun Jie
animeType	ONA
animeNumEpisode	24
releaseDate	2016-04-28 00:00:00
endDate	2016-10-20 00:00:00
animeNumMembers	31188
animeScore	7.68
animeUsers	5097
animeRank	1121
animePopularity	3257
animeDescription	"Based on the Chinese manhua. Requiem Street, where evil spirits are attracted to in order to destroy them. A place where spirits and humans co-exist, not all humans can enter Requiem Street. Only those rare-soul users with guardian spirits can enter. Xia Ling was just a normal university intern, but a meeting by chance changes her ordinary life... In this world full of evil spirits, can you cooperate with your guardian spirit in order to survive? 

(Source: MU) "
animeRelated	['Rakshasa Street', 'Zhen Hun Jie Recaps', 'Zhen Hun Jie: Bei Luo Shi Men Pian Part 1']
animeCharacters	['Cao, Xuanliang', 'Cao, Yanbing', 'Xia, Ling', 'Xiao Rou', 'Liu, Yushan', 'Guifu, Santong', 'Lu, Tianyou', 'Hale, Camp']
animeVoices	[]
animeStaff	[['Li, Shujie', 'Director'], ['Lu, Hengyu', 'Director'], ['Huang, Ling', 'Inserted Song Performance']]
