animeTitle	3-bu de Wakaru Koizumi Yakumo no Kaidan
animeType	ONA
animeNumEpisode	7
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14315
animeDescription	"Stories from Patrick Lafcadio Hearn's book Kwaidan: Stories and Studies of Strange Things. The Greek-American author was known as Koizumi Yakumo in Japan and is renowned for collecting and publishing stories of Japanese folklore and legends. 

The shorts were made for a Matsue City tourism promotion, as Hearn taught, lived, and married there. His home is a museum people can visit."
animeRelated	['Heisei Matsue Kaidan: Ayashi', 'Matsue Kankou Taishi Sanri ga Iku! Matsue Ghost Tour', 'Yoshida no Matsue Beauty Daisakusen', 'Yoshida no Matsue Beauty Daisakusen Prologue', 'Yoshida no Time Slip Fumai-kou', 'Heisei Matsue Kaidan']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
