animeTitle	Yamiyo no Jidaigeki
animeType	Special
animeNumEpisode	2
releaseDate	1995-02-19 00:00:00
endDate	
animeNumMembers	328
animeScore	
animeUsers	
animeRank	14410
animePopularity	14323
animeDescription	"Tales include:

The Hill of Old Age, which tells of a conspiracy hatched against Japan's unifier, Oda Nobunaga. 

Seeing the Truth, about the assassin sent to murder Nobunaga's successor leyasu Tokugawa.

The broadcast was a part of the Neo Hyper Kids program. 

(Source: Anime Encyclopedia)"
animeRelated	['Yamiyo no Jidaigeki (OVA)']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
