animeTitle	Top Secret: The Revelation
animeType	TV
animeNumEpisode	26
releaseDate	2008-04-09 00:00:00
endDate	2008-10-01 00:00:00
animeNumMembers	
animeScore	7.31
animeUsers	3339
animeRank	
animePopularity	4242
animeDescription	"A newly developed method allows to display the memories of dead people. It is used to solve difficult murder cases. But at what cost? What of the dead's privacy as strangers poke about in their most private memories? What about the effects the imageries may have on the persons whose jobs require going through psychotic murderers' minds and experience whatever emotions and feelings these murderers felt as they skin and disembowel their victims?

(Source: Adapted from manga description)"
animeRelated	['Top Secret']
animeCharacters	['Maki, Tsuyoshi', 'Aoki, Ikkou', 'Okabe, Yasufumi', 'Amaichi, Nanako', 'Harvey, Matthew', 'Soga, Takashi', 'Miyoshi, Yukiko', 'Onokida, Satoshi', 'Satonaka, Kyouko', 'Sendou, Michiru']
animeVoices	['Seki, Tomokazu', 'Namikawa, Daisuke', 'Meguro, Kousuke', 'Nonaka, Ai', 'Sasaki, Nozomu', 'Hamada, Kenji', 'Shinohara, Emi', 'Madono, Mitsuaki', 'Noto, Mamiko', 'Sendai, Eri']
animeStaff	[['Aoyama, Hiroshi', 'Director'], ['Ishizuka, Atsuko', 'Episode Director, Storyboard'], ['Watanabe, Kotono', 'Episode Director'], ['Hatta, Yousuke', 'Episode Director']]
