animeTitle	b'Kawarazaki-ke no Ichizoku 2'
animeType	b'OVA'
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	5.51
animeUsers	521
animeRank	
animePopularity	
animeDescription	b'The continuation of the first OVAs, just with a little twists in the main story line, but it refains the same as the first one. \n\n(Source: ANN) '
animeRelated	[b'Kawarazaki-ke no Ichizoku The Animation']
animeCharacters	[b'Mika', b'Sanjo, Anna', b'Natsuko']
animeVoices	[b'\nKawakami, Tomoko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKageyama, Shigenori\n\nDirector, Script, Storyboard, Screenplay\n\n', b'\nRinshin\n\nOriginal Character Design\n\n']
