animeTitle	Midori no Neko
animeType	OVA
animeNumEpisode	1
releaseDate	1983-10-01 00:00:00
endDate	
animeNumMembers	
animeScore	5.4
animeUsers	609
animeRank	
animePopularity	10508
animeDescription	The story is a mystery about a green cat and a private detective who investigates where it came from. The cat was thought to be good luck, but eventually brought misfortune to all those who come in contact. The story was taken directly from the 5th subtitle of the 1950s Lion Books manga.
animeRelated	['Lion Books', 'Amefuri Kozou', 'Adachi-ga Hara', 'Yamatarou Kaeru', 'Akuemon', 'Lunn wa Kaze no Naka']
animeCharacters	['Hige Oyaji', 'Green']
animeVoices	['Tomita, Kousei', 'Nozawa, Masako']
animeStaff	[['Tezuka, Osamu', 'Director, Original Creator'], ['Nishimura, Hiroshi', 'Storyboard, Screenplay, Animation Director']]
