animeTitle	b'Midnight Horror School'
animeType	b'TV'
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'The school has 26 students with each name of them beginning with a letter of the alphabet in order and a color, 3 teachers, 3 classrooms, a library, a cafeteria, a music room, a playroom, a fountain, a skeleton playground, a graveyard and several school staff. \n\n(Source: Wikipedia)'
animeRelated	[]
animeCharacters	[b'Ampoo']
animeVoices	[b'\nShibahara, Chiyako\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nIwata, Naomi\n\nDirector, Original Creator\n\n', b'\nAsai, Shingo\n\nDirector\n\n', b'\nShimizu, Youji\n\nSound Director\n\n', b'\nKondou, Hiroaki\n\nMusic\n\n']
