animeTitle	b'Cencoroll'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.18
animeUsers	40700
animeRank	
animePopularity	
animeDescription	"b""When a gigantic, unearthly monster suddenly looms on the skyline of a Japanese city, the expected occurs\xe2\x80\x94the Japan Self-Defense Forces roll out the tanks while the public panics. Nobody knows what it is or where it came from, but Yuki, a bold and inquisitive teenage girl, has a secret but might be a useful clue. Her friend Tetsu has been clandestinely caring for a bizarre creature called Cenco, which will soon prove itself to have some remarkable, even impossible characteristics. Another teenage boy, a stranger with some mysterious link to the monstrosity attacking the city, shows up, and his unwelcome interest in Tetsu's pet snuffs out any doubt of a connection\xe2\x80\x94and lights the fuse for the coming battle.\n\n(Source: Rupert Bottenberg, Fantasia Genre Film Festival)"""
animeRelated	[b'Amon Game', b'Cencoroll Connect']
animeCharacters	[b'Amamiya, Tetsu', b'Cenco', b'Yuki', b'Shuu', b'Kei']
animeVoices	[b'\nShimono, Hiro\nJapanese\n', b'\nHanazawa, Kana\nJapanese\n', b'\nKimura, Ryouhei\nJapanese\n', b'\nMoriya, Satomi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nUki, Atsuya\n\nDirector, Script, Key Animation, Creator\n\n', b'\nIwanami, Yoshikazu\n\nSound Director\n\n', b'\nsupercell\n\nTheme Song Performance\n\n', b'\nYanagi, Nagi\n\nTheme Song Performance\n\n']
