animeTitle	b'Ao Haru Ride OVA'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	7.59
animeUsers	66517
animeRank	
animePopularity	
animeDescription	"b'""Unwritten"" - An episode about Futaba and Kou in middle school. Based on the chapter called ""Unwritten."" also known as chapter 0 or Prologue.\n\n""Page.13"" - An episode that continues the story after the television series\'s 12th and final episode.\n\n(Source: sakisaka10)'"
animeRelated	[b'Ao Haru Ride']
animeCharacters	[b'Mabuchi, Kou', b'Yoshioka, Futaba', b'Kikuchi, Touma', b'Murao, Shuuko', b'Kominato, Aya', b'Makita, Yuuri', b'Uchimiya, Haruhiko', b'Naitou', b'Yumi']
animeVoices	[b'\nKaji, Yuki\nJapanese\n', b'\nUchida, Maaya\nJapanese\n', b'\nMatsuoka, Yoshitsugu\nJapanese\n', b'\nKomatsu, Mikako\nJapanese\n', b'\nKENN\nJapanese\n', b'\nKayano, Ai\nJapanese\n', b'\nAkabane, Kenji\nJapanese\n', b'\nYamashita, Daiki\nJapanese\n', b'\nMakino, Yui\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKuroki, Rui\n\nProducer\n\n', b'\nYoshimura, Ai\n\nDirector\n\n', b'\nNagasaki, Yukio\n\nSound Director\n\n', b'\nYamada, Yuka\n\nScript\n\n']
