animeTitle	Suzumi-bune
animeType	Movie
animeNumEpisode	1
releaseDate	1932-01-01 00:00:00
endDate	
animeNumMembers	346
animeScore	
animeUsers	
animeRank	
animePopularity	14068
animeDescription	"The story begins in the Edo period with two foolish woman at the start of Kanda River's Kawabiraki, a festival marking the start of the boating season. A woman looking to be the daughter of a large shop gets lured over by a seemingly good looking man that appears and gives into pleasure. However, on the verge of the act, she is spotted by a boatman and falls into the river. The other woman, who looks like a mother, beckons the boatman to have the daughter make love again as she peeps.

Please do not upload or approve any images to this entry."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
