animeTitle	b'Samurai Flamenco'
animeType	b'TV'
animeNumEpisode	22
releaseDate	
endDate	
animeNumMembers	
animeScore	6.89
animeUsers	41822
animeRank	
animePopularity	
animeDescription	"b'""A hero will never give up, never hide, never be defeated and never accept evil!""\n\nFirmly believing these words, Masayoshi Hazama has been obsessed with superhero shows since childhood. By day, he earns his living as a famous model, and by night, he becomes the gallant hero Samurai Flamenco. Armed with only his superhero costume, he seeks to bring justice to the city and faces anybody who tries to break the law\xe2\x80\x94even rebellious juveniles and people who litter on the street.\n\nMasayoshi\'s heroic antics later catch the attention of the public, leading to the fateful discovery of his identity by policeman Hidenori Gotou. Although initially telling Masayoshi to leave the crime-busting activities to the police, Gotou ends up joining him in his antics. However, things soon escalate from preventing littering and petty thefts to bizarre adventures that involve even the fate of the world. Together with their newfound comrades, Masayoshi and Gotou embark on a battle with the world and themselves in order to find the true meaning of being a hero\xe2\x80\x94with or without superpowers.\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Samurai Flamenco: Another Days']
animeCharacters	[b'Hazama, Masayoshi', b'Gotou, Hidenori', b'Gorilla, Guillotine', b'Morita, Moe', b'Maya, Mari', b'Kaname, Jouji', b'Flamenco, Alien', b'Konno, Akira', b'Kuroki, Anji', b'Midorikawa, Hekiru']
animeVoices	[b'\nMasuda, Toshiki\nJapanese\n', b'\nSugita, Tomokazu\nJapanese\n', b'\nImaruoka, Atsushi\nJapanese\n', b'\nYamazaki, Erii\nJapanese\n', b'\nTomatsu, Haruka\nJapanese\n', b'\nKosugi, Juurouta\nJapanese\n', b'\nYasumoto, Hiroki\nJapanese\n', b'\nMikami, Satoshi\nJapanese\n', b'\nKENN\nJapanese\n', b'\nToyonaga, Toshiyuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nOomori, Takahiro\n\nDirector, Sound Director, Episode Director, Storyboard\n\n', b'\nKidokoro, Seimei\n\nEpisode Director\n\n', b'\nHigashide, Futoshi\n\nEpisode Director, Storyboard, Character Design, Key Animation\n\n', b'\nNagai, Shinpei\n\nEpisode Director\n\n']
