animeTitle	Sennin Buraku
animeType	TV
animeNumEpisode	23
releaseDate	1963-09-04 00:00:00
endDate	1964-02-23 00:00:00
animeNumMembers	768
animeScore	5.95
animeUsers	138
animeRank	8850
animePopularity	11811
animeDescription	The ancient Chinese town of Taoyuan is populated exclusively by Taoist ascetics. The elder, Lao Shi, conducts research on magic and alchemy, while his pupil Zhi Huang is more interested in the pleasures of the flesh. He fell in love with three beautiful sisters who live close by.
animeRelated	[]
animeCharacters	['Doctor']
animeVoices	['Hidari, Bokuzen']
animeStaff	[['Hayasaka, Akira', 'Script, Screenplay'], ['Yamashita, Takeo', 'Theme Song Composition'], ['Kojima, Kou', 'Original Character Design, Original Creator']]
