animeTitle	Ranpou
animeType	TV
animeNumEpisode	21
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14402
animeDescription	"TV anime adaptation of Masatoshi Uchizaki's gag comedy manga ""Ranpou"".

Mild-mannered Japanese kid Rampou is kidnapped by aliens whose UFO-based experiments turn him into a warp boy who truly believes that he can do anything.

(Source: The Anime Encyclopedia)"
animeRelated	[]
animeCharacters	['Ranpou', 'Chuutarou', 'Wappen', 'Chika', 'Yasuotto', 'Haruo', 'Torako', 'Karatarou', 'Hulk', 'Aoba, Hana']
animeVoices	['Sakamoto, Chika', 'Tanaka, Mayumi', 'Futamata, Issei', 'Tsushima, Mizuho', 'Shiozawa, Kaneto', 'Satou, Masaharu', 'Aoki, Kazuyo', 'Kameyama, Sukekiyo', 'Sawaki, Ikuya']
animeStaff	[['Sonoda, Hideki', 'Script'], ['Terada, Kenji', 'Script'], ['Maruo, Keiko', 'Script'], ['Yuyama, Kunihiko', 'Storyboard']]
