animeTitle	b'Baku Tech! Bakugan Gachi'
animeType	b'TV'
animeNumEpisode	39
releaseDate	
endDate	
animeNumMembers	
animeScore	5.87
animeUsers	766
animeRank	
animePopularity	
animeDescription	b'BakuTech! Bakugan Gachi is the sequel to the BakuTech! Bakugan series.'
animeRelated	[b'Baku Tech! Bakugan', b'Baku Tech! Bakugan Gachi Special']
animeCharacters	[b'Hinode, Harubaru', b'Kuronashi, Raichi', b'Mister Down']
animeVoices	[b'\nMizuno, Marie\nJapanese\n', b'\nWatanabe, Miku\nJapanese\n', b'\nHayashi, Yuuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNishimura, Junji\n\nDirector\n\n', b'\nTakadera, Takeshi\n\nSound Director\n\n', b'\nAraki, Kenichi\n\nScript\n\n', b'\nSekijima, Mayori\n\nSeries Composition\n\n']
