animeTitle	Ling Jian Zun
animeType	ONA
animeNumEpisode	30
releaseDate	2019-01-15 00:00:00
endDate	2019-04-26 00:00:00
animeNumMembers	
animeScore	7.01
animeUsers	1017
animeRank	
animePopularity	8540
animeDescription	"A big dream and a young man determined to change the status quo and work hard to create a new world. The rare and precious treasures, the martial arts, and the lost strong caves, in this era of genius, full of challenges and opportunities. See the adventure of how the Lord lost the mainland and became the supreme Emperor of the storm. The former enemy, now, will never let go! The regret in the dream, now, must make up! When the spirit sword shouts, the heavens and the earth, I am the supreme!

(Source: Anilist)"
animeRelated	['Ling Jian Zun 2nd Season']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
