animeTitle	Sore Ike! Anpanman: Hiya Hiya Hiyariko to Bafu Bafu Baikinman
animeType	Movie
animeNumEpisode	1
releaseDate	2008-07-12 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15338
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Sore Ike! Anpanman']
animeCharacters	['Anpanman', 'Baikinman', 'Cheese', 'Currypanman', 'Dokin-chan', 'Oji-san, Jam', 'Hiyariko', 'Batako-san', 'Horrorman', 'Kabao-kun']
animeVoices	['Toda, Keiko']
animeStaff	[['Yano, Hiroyuki', 'Director'], ['Yanase, Takashi', 'Original Creator'], ['Kondou, Hiroaki', 'Music'], ['Izumi, Taku', 'Music']]
