animeTitle	Teito Monogatari
animeType	OVA
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	5.96
animeUsers	2323
animeRank	
animePopularity	5737
animeDescription	"When an evil sorcerer bent on crushing the ""greatest city on earth"" uses dark powers to awaken the destructive spirit of Tokyo's historic ""guardian,"" Taira no Masakado, occultists, children, and scientists become embroiled in a ruinous struggle spanning two decades.

(Source: ANN)"
animeRelated	['Teito Monogatari']
animeCharacters	['Katou, Yasunori', 'Tatsumiya, Yukari', 'Mikata, Keiko', 'Narutaki, Junichi', 'Mori, Ogai ', 'Rohan, Kouda', 'Mekata, Shin', 'Kyouka, Izumi', 'Astronomer A', 'Amano, Junkichi']
animeVoices	['Shimada, Kyusaku', 'Han, Keiko', 'Ichiryuusai, Harumi', 'Yamadera, Kouichi', 'Sasaoka, Shigezou', 'Yara, Yuusaku', 'Yada, Kouji', 'Okiayu, Ryoutarou', 'Kitamura, Kouichi']
animeStaff	[['Maruyama, Masao', 'Producer'], ['Macek, Carl', 'Producer, ADR Director'], ['Takahashi, Naoko', 'Producer'], ['Rintaro', 'Director']]
