animeTitle	Bronze: Kouji Nanjo Cathexis
animeType	OVA
animeNumEpisode	1
releaseDate	1994-07-06 00:00:00
endDate	
animeNumMembers	4975
animeScore	6.19
animeUsers	2164
animeRank	7740
animePopularity	7004
animeDescription	"A 30-minute OVA composed of five Koji Nanjo music videos, featuring never-seen scenes between Takuto and him, with an original art gallery by Minami Ozaki at the end.

[Written by MAL Rewrite]"
animeRelated	['Zetsuai 1989', 'Bronze: Zetsuai Since 1989']
animeCharacters	['Nanjou, Kouji', 'Izumi, Takuto']
animeVoices	[]
animeStaff	[['Maruyama, Masao', 'Producer'], ['Honda, Yasunori', 'Sound Director'], ['Kawajiri, Yoshiaki', 'Storyboard'], ['Asaka, Morio', 'Storyboard']]
