animeTitle	Yu☆Gi☆Oh! Zexal Special
animeType	Special
animeNumEpisode	1
releaseDate	2012-09-17 00:00:00
endDate	
animeNumMembers	4601
animeScore	6.16
animeUsers	1408
animeRank	7892
animePopularity	7259
animeDescription	"A short special aired in the middle of information about Yu-Gi-Oh! with real people.

Kotori takes Yuma to the gymnastics club at their school to cheer on her friend. There they meet the ace of the club, Kimura Taiki, who plans to quit after a recent loss at a competition. To cheer him up, Yuma challenges him to a duel."
animeRelated	['Yu☆Gi☆Oh! Zexal']
animeCharacters	['Tsukumo, Yuuma', 'Astral', 'Mizuki, Kotori', 'Kimura, Taiki', 'Todoroki, Takashi', 'Takada, Tetsuo']
animeVoices	['Hatanaka, Tasuku', 'Irino, Miyu', 'Komatsu, Mikako', 'Kimura, Ryouhei', 'Murata, Taishi', 'Shimada, Makoto']
animeStaff	[]
