animeTitle	Overlord II
animeType	TV
animeNumEpisode	13
releaseDate	2018-01-09 00:00:00
endDate	2018-04-03 00:00:00
animeNumMembers	779342
animeScore	7.76
animeUsers	470821
animeRank	933
animePopularity	154
animeDescription	"Ainz Ooal Gown, the undead sorcerer formerly known as Momonga, has accepted his place in this new world. Though it bears similarities to his beloved virtual reality game Yggdrasil, it still holds many mysteries which he intends to uncover, by utilizing his power as ruler of the Great Tomb of Nazarick. However, ever since the disastrous brainwashing of one of his subordinates, Ainz has become wary of the impending dangers of the Slane Theocracy, as well as the possible existence of other former Yggdrasil players. Meanwhile, Albedo, Demiurge and the rest of Ainz's loyal guardians set out to prepare for the next step in their campaign: Nazarick's first war…

Overlord II picks up immediately after its prequel, continuing the story of Ainz Ooal Gown, his eclectic army of human-hating guardians, and the many hapless humans affected by the Overlord's arrival.

[Written by MAL Rewrite]"
animeRelated	['Overlord', 'Overlord: Ple Ple Pleiades 2', 'Overlord III']
animeCharacters	['Momonga', 'Albedo', 'Bloodfallen, Shalltear', 'Gamma, Narberal', 'Sebas Tian', 'Demiurge', 'Zeta, Entoma Vasilissa', 'Evileye', 'Shizu Delta', 'Beta, Lupusregina']
animeVoices	['Hino, Satoshi', 'Hara, Yumi', 'Uesaka, Sumire', 'Numakura, Manami', 'Chiba, Shigeru', 'Katou, Masayuki', 'Shindou, Kei', 'Hanamori, Yumiri', 'Seto, Asami', 'Komatsu, Mikako']
animeStaff	[['Itou, Naoyuki', 'Director, Episode Director, Storyboard, Key Animation'], ['Gou, Fumiyuki', 'Sound Director'], ['Terasawa, Kazuaki', 'Episode Director, Storyboard'], ['Sugawara, Yukie', 'Script, Series Composition']]
