animeTitle	Shiki Specials
animeType	Special
animeNumEpisode	2
releaseDate	2011-05-25 00:00:00
endDate	2011-06-22 00:00:00
animeNumMembers	63609
animeScore	7.79
animeUsers	35999
animeRank	868
animePopularity	2191
animeDescription	"The official website of the Shiki television anime series confirmed on Saturday that the anime's eighth and ninth Blu-ray Disc/DVD volumes will each include an unaired episode. The eighth volume will ship with Episode 21 and the unaired episode ""Dai Futatō to Han wa"" (a wordplay for ""Episode 20.5"") on May 25, 2011, while the ninth volume will ship with Episode 22 and the unaired episode ""Dai Futatō-ichi to Han wa"" (""Episode 21.5"") on June 22. 

(Source: ANN)"
animeRelated	['Shiki']
animeCharacters	['Shimizu, Megumi', 'Maeda, Motoko', 'Yasumori, Nao', 'Hasegawa', 'Yano, Kanami', 'Ozaki, Toshio', 'Kunihiro, Ritsuko', 'Kurahashi, Yoshie', 'Hirosawa, Takatoshi', 'Hayami']
animeVoices	['Sakamoto, Satomi', 'Itou, Miki', 'Nakata, Hayato', 'Nohama, Tamako', 'Ookawa, Tooru', 'Kitamura, Eri', 'Kajikawa, Shohei', 'Tobita, Nobuo']
animeStaff	[['Amino, Tetsuro', 'Director'], ['Wakeshima, Kanon', 'Theme Song Lyrics'], ['BUCK-TICK', 'Theme Song Performance'], ['kanon x kanon', 'Theme Song Performance']]
