animeTitle	Crayon Shin-chan Movie 25: Shin-chan Shuurai! Uchuujin Shiriri
animeType	Movie
animeNumEpisode	1
releaseDate	2017-04-15 00:00:00
endDate	
animeNumMembers	
animeScore	6.88
animeUsers	957
animeRank	
animePopularity	9211
animeDescription	"The film's story begins when Shiriri, an alien, arrives and turns Hiroshi and Misae into children. To turn them back, Shinnosuke must travel the length of Japan with Shiriri hidden in his butt. Meanwhile, Shiriri's father is moving forward with a huge conspiracy. 

(Source: ANN)"
animeRelated	['Crayon Shin-chan', 'Crayon Shin-chan Movie 24: Bakusui! Yumemi World Dai Totsugeki', 'Crayon Shin-chan x Panpaka Pants: Aeon Cinema Manner Movie Collab', 'Crayon Shin-chan Movie 26: Bakumori! Kung Fu Boys - Ramen Tairan']
animeCharacters	['Nohara, Shinnosuke', 'Nohara, Hiroshi', 'Nohara, Misae', 'Nohara, Himawari', 'Shiro', 'Boo-chan', 'Kazama, Tooru', 'Sakurada, Nene', 'Sato, Masao', 'Oohara, Nanako']
animeVoices	[]
animeStaff	[['Hashimoto, Masakazu', 'Director'], ['Takahashi, Yu', 'Theme Song Performance'], ['Usui, Yoshito', 'Original Creator'], ['Kuno, Yoko', 'Key Animation, Character Design, Mechanical Design']]
