animeTitle	b'Fault!!'
animeType	b'OVA'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	7.05
animeUsers	8835
animeRank	
animePopularity	
animeDescription	b'Shuichi belongs to the tennis club. There are only five members in total, but he enjoys his school life with them. One day, the situation around him starts changing when Shuichi gets injured in an accident. While Ai, one of the members, takes a good care of him, Mio, his younger sister, stays grumpy. In such an ugly situation, a big accident happens which changes the whole situation...'
animeRelated	[b'Fault!! Service: Aratanaru Rival']
animeCharacters	[b'Sugiyama, Mio', b'Saeki, Ai', b'Sugiyama, Shuuichi', b'Date Wingfield, Reiko', b'Hayama, Rika', b'Matsuoka, Kei']
animeVoices	[b'\nAoba, Ringo\nJapanese\n', b'\nOokubo, Aiko\nJapanese\n', b'\nNatsumura, Isuke\nJapanese\n', b'\nInada, Kenoko\nJapanese\n', b'\nNishiguchi, Yuka\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nAki, Akane\n\nDirector, Episode Director, Storyboard, 2nd Key Animation, Character Design, Animation Director\n\n', b'\nNakagawa, Tatsuto\n\nSound Director\n\n', b'\nSawayama, Shinichiro\n\nScript, Screenplay\n\n', b'\nMitose, Noriko\n\nTheme Song Performance\n\n']
