animeTitle	Tokyo 24-ku
animeType	TV
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	19107
animeDescription	"An artificial island in Tokyo Bay—Kyokutou Houreigai Tokubetsu Chiku (Far East Special District), commonly known as the 24-ku (24th Ward).

Childhood friends Ran, Kouki, and Shuuta, who were born and raised there, have different family backgrounds, hobbies, and personalities, but always hung out together. However, their relationship changes drastically in the wake of a certain incident.

At the first anniversary memorial of the incident, the three friends happen to meet again and their phones begin to ring simultaneously. The phone call is from a supposedly dead friend, urging them to ""choose the future."" The three will try to protect their beloved 24th Ward and the future of its people in their own ways.

(Source: MAL News)"
animeRelated	[]
animeCharacters	['Suidou, Kouki', 'Akagi, Ran', 'Aoi, Shuuta']
animeVoices	['Ishikawa, Kaito', 'Uchida, Yuuma', 'Enoki, Junya']
animeStaff	[['Tsuda, Naokatsu', 'Director'], ['Shimokura, Vio', 'Script, Series Composition'], ['Fukasawa, Hideyuki', 'Music'], ['Kishida, Takahiro', 'Character Design']]
