animeTitle	Himouto! Umaru-chanS
animeType	Special
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.0
animeUsers	31080
animeRank	
animePopularity	2134
animeDescription	These shorts, included in the Blu-ray and DVD releases, take place in a timeline with multiple Umaru-chans. 
animeRelated	"[""Himouto! Umaru-chan'S"", 'Himouto! Umaru-chan']"
animeCharacters	['Doma, Umaru', 'Ebina, Nana', 'Motoba, Kirie', 'Tachibana, Sylphinford', 'Doma, Taihei', 'Motoba, Takeshi', 'Tachibana, Alex']
animeVoices	['Tanaka, Aimi', 'Kageyama, Akari', 'Shiraishi, Haruka', 'Furukawa, Yurina', 'Nojima, Kenji']
animeStaff	[['Oota, Masahiko', 'Director'], ['Tanaka, Aimi', 'Theme Song Performance'], ['SankakuHead', 'Original Creator'], ['Aoshima, Takashi', 'Series Composition']]
