animeTitle	So Ra No Wo To Specials
animeType	Special
animeNumEpisode	2
releaseDate	2010-06-23 00:00:00
endDate	2010-09-22 00:00:00
animeNumMembers	24837
animeScore	7.54
animeUsers	13933
animeRank	1509
animePopularity	3606
animeDescription	"Two extra episodes included in the Blu-ray and DVD volumes 4 and 7 of ""Sora no Woto"".

The first, episode 7.5, takes place during the series. Felicia proposes a mock battle between the maidens after Kanata sees Rio opening the door to the distillery. If Kanata can win, they'll tell her the truth about the secret room. However, things get out of hand when alcohol gets involved!

The second, episode 13, takes place after the series ends. One of the local children asks Kanata what her dream is. Unable to answer, Kanata talks to the other characters about their dreams and goals."
animeRelated	['So Ra No Wo To']
animeCharacters	['Kannagi, Noël', 'Sorami, Kanata', 'Kazumiya, Rio', 'Heideman, Filicia', 'Suminoya, Kureha', 'Yumina', 'Shuko', 'Krauss', 'Carl', 'Maria']
animeVoices	['Yuuki, Aoi', 'Kanemoto, Hisako', 'Kobayashi, Yuu', 'Endou, Aya', 'Kitamura, Eri', 'Fukuen, Misato', 'Ishizuka, Unshou', 'Tomatsu, Haruka']
animeStaff	[['Kanbe, Mamoru', 'Director'], ['Shimizu, Katsunori', 'Sound Director'], ['Yoshino, Hiroyuki', 'Script, Series Composition'], ['Kyougoku, Takahiko', 'Storyboard']]
