animeTitle	Igano Kabamaru
animeType	TV
animeNumEpisode	24
releaseDate	1983-10-20 00:00:00
endDate	1984-03-29 00:00:00
animeNumMembers	9416
animeScore	7.84
animeUsers	3517
animeRank	777
animePopularity	5431
animeDescription	"After the death of Saizou, Kabamaru's horribly strict grandfather and Iga ninja teacher (sensei), an old lady, Ran Ookubo, claims that she received a letter from him asking her to take care of his grandson. So Kabamaru runs off with Lady Ookubo to the big city Tokyo to gorge on yakisoba, ramen, chow mein, and attend a regular school—which turns out to have weird quirks of its own. 

(Source: ANN) "
animeRelated	['Igano Kabamaru']
animeCharacters	['Igano, Kagemaru', 'Mejiro, Shizune', 'Ookubo, Mai', 'Kirino, Hayate', 'Suu, Matsuno', 'Ookubo, Ran', 'Igano, Saizou', 'Futaba, Mejiro', 'Nonokusa, Kaoru']
animeVoices	['Nakao, Ryusei', 'Kamiya, Akira', 'Tachihara, Mai', 'Tanaka, Hideyuki', 'Nozawa, Masako', 'Yamada, Eiko', 'Ogata, Kenichi', 'Ishimaru, Kenjirou', 'Ichiryuusai, Harumi']
animeStaff	[['Hayakawa, Keiji', 'Director, Storyboard'], ['Fujiyama, Fusanobu', 'Sound Director'], ['Nagaoka, Akinori', 'Episode Director, Storyboard'], ['Tsuchiya, Tokio', 'Script, Series Composition']]
