animeTitle	Anata ga Furikaeru Toki
animeType	OVA
animeNumEpisode	1
releaseDate	1993-03-21 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	12557
animeDescription	"Three shorts based on stories by Hanai Aiko, who also directed this OVA.

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Mizuho']
animeVoices	['Araki, Kae']
animeStaff	[['Hanai, Aiko', 'Director, Original Creator, Screenplay'], ['Honda, Yasunori', 'Sound Director'], ['Tamano, Harumi', 'Episode Director, Storyboard'], ['Oono, Yuuji', 'Music']]
