animeTitle	Shameshrine Andorora
animeType	OVA
animeNumEpisode	1
releaseDate	2001-06-15 00:00:00
endDate	
animeNumMembers	2893
animeScore	6.15
animeUsers	992
animeRank	
animePopularity	8475
animeDescription	"Kenichi, a down on his luck salaryman runs into a beautiful (and naked) woman on his walk home from work and invites her to his home. To Kenichi's great surprise, not only does the woman accept, but she just so happens to be an escaped espionage android named Pinky. With one fateful kiss Pinky's priorities change to pleasing Kenichi in any way possible.

(Source: ANN) "
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
