animeTitle	Binan Koukou Chikyuu Boueibu LOVE! LOVE!
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.03
animeUsers	9301
animeRank	
animePopularity	3529
animeDescription	"After pulling the plug on the space reality TV show ""Can I Destroy the Earth? 2,"" the Defense Club and the Conquest Club return to their peaceful high school lives. Time has passed since that fearsome battle, and it's now autumn. The five Defense Club members have stopped serving as the Battle Lovers, and are enjoying a soak in the Kurotama Bath like always, when the Conquest Club broaches a subject that will change a great deal about events to come...

[Source: Crunchyroll]"
animeRelated	['Binan Koukou Chikyuu Bouei-bu Love! Novel!', 'Binan Koukou Chikyuu Boueibu LOVE!', 'Binan Koukou Chikyuu Boueibu LOVE! LOVE! LOVE!']
animeCharacters	['Yufuin, En', 'Hakone, Yumoto', 'Zaou, Ryuu', 'Kinugawa, Atsushi', 'Naruko, Io', 'Wombat', 'Gero, Akoya', 'Kusatsu, Kinshirou', 'Beppu, Akihiko', 'Beppu, Haruhiko']
animeVoices	['Umehara, Yuuichirou', 'Yamamoto, Kazutomi', 'Masuda, Toshiki', 'Nishiyama, Koutarou', 'Shirai, Yuusuke', 'Mugihito', 'Terashima, Takuma', 'Kamiya, Hiroshi', 'Koumoto, Keisuke', 'Murakami, Yoshiki']
animeStaff	[['Noshitani, Mitsutaka', 'Episode Director'], ['Kimura, Yasuhiro', 'Episode Director, Storyboard, Key Animation'], ['Kanesugi, Hiroko', 'Script'], ['Umehara, Yuuichirou', 'Theme Song Performance']]
