animeTitle	Nintama Rantarou no Uchuu Daibouken with Cosmic Front☆Next
animeType	Special
animeNumEpisode	Unknown
releaseDate	2016-02-11 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14669
animeDescription	A series of educational collaboration specials between Nintama Rantarou and the documentary show Cosmic Front Next where Rantarou, Kirimaru and Shinbei learn about space.
animeRelated	['Nintama Rantarou']
animeCharacters	['Settsuno, Kirimaru', 'Fukutomi, Shinbei', 'Inadera, Rantarou', 'Doi, Hansuke', 'Miss Swan', 'Souzou no Megami', 'Uni', 'Ocassini', 'Galilei, Galileo', 'Curio']
animeVoices	['Tanaka, Mayumi', 'Ichiryuusai, Teiyuu', 'Takayama, Minami', 'Seki, Toshihiko', 'Sawashiro, Miyuki', 'Sakuma, Rei', 'Tamura, Yukari', 'Ono, Daisuke', 'Hanazawa, Kana', 'Koyama, Rikiya']
animeStaff	[['Amako, Soubee', 'Original Creator']]
