animeTitle	b'Shikizakura'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	5.4
animeUsers	870
animeRank	
animePopularity	
animeDescription	b'Shikizakura: where cherry blossoms are in full bloom while trees are colored with autumn leaves. In this special place, where the transient world meets the spirit world, a ritual to save humanity is about to begin...\n\nHigh school student Kakeru Miwa, by a strange turn of events, winds up being an irregular member of a power suit team tasked with battling Oni. These Oni possess humans and try to cling to the transient world. Only the power suit, Yoroi, which combines ancient secrets with the latest technology, can protect people from Oni. Kakeru decides to become a hero who will battle Oni and protect Ouka Myoujin, the shrine maiden fated with saving the world.\n\nShikizakura season. Ouka dances as a shrine maiden in autumn leaves and cherry blossoms. Heroic action\xe2\x80\x94where the past and the future, the transient world and the spirit world, thoughts and wishes, all intersect\xe2\x80\x94begins here!\n\n(Source: MAL News)'
animeRelated	[b'Shikizakura']
animeCharacters	[b'Ibara', b'Naruse, Kaede', b'Yamada, Haruko', b'Hattori, Ryou', b'Nagatsu, Kippei', b'Myoujin, Ooka', b'Miwa, Kakeru', b'Myoujin, Benio', b'Colonel Inuzuka', b'Kijima, Ukon']
animeVoices	[b'\nYoneyama, Shingo\nJapanese\n', b'\nSakazaki, Eri\nJapanese\n', b'\nOchiai, Natsuki\nJapanese\n', b'\nMizukami, Shouto\nJapanese\n', b'\nNakamoto, Daisuke\nJapanese\n', b'\nMashiro, Miho\nJapanese\n', b'\nNoda, Yuudai\nJapanese\n', b'\nYakata, Miki\nJapanese\n', b'\nIwori\nJapanese\n', b'\nArai, Yuuto\nJapanese\n']
animeStaff	"[b'\n\n\n\n\n\n', b'\nKurosaki, Gou\n\nDirector\n\n', b'\nSugai, Shinya\n\nDirector\n\n', b'\nSaitou, Takumi\n\nSound Director, Music\n\n', b""\nMay'n\n\nTheme Song Performance\n\n""]"
