animeTitle	Boukyaku Battery
animeType	ONA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	10170
animeDescription	"The story follows a group of baseball players who after having quit playing baseball are reunited by fate after enrolling in the same university. At the time the university did not have a baseball team, so the group who have previously faced off against each other throughout the years form a team and start playing once again, reviving their passion for the sport.

(Source: MAL News)"
animeRelated	['Boukyaku Battery']
animeCharacters	['Toudou, Aoi', 'Yamada, Tarou', 'Chihaya, Shunpei', 'Kiyomine, Haruka', 'Kaname, Kei']
animeVoices	['Suzuki, Tatsuhisa', 'Fukuyama, Jun', 'Matsuoka, Yoshitsugu', 'Hosoya, Yoshimasa', 'Miyano, Mamoru']
animeStaff	[['Shinohara, Parako', 'Director'], ['Itou, Noriko', 'Chief Animation Director, Character Design'], ['Akagi, Hisako', 'Art Director'], ['Mikawa, Eco', 'Original Creator']]
