animeTitle	Alexandros no Ketsudan
animeType	OVA
animeNumEpisode	1
releaseDate	2003-06-01 00:00:00
endDate	
animeNumMembers	550
animeScore	5.75
animeUsers	119
animeRank	9556
animePopularity	12703
animeDescription	King Alexander of Macedonia and his troops are at war with the armies of Persia. When he suddenly falls ill, Alexander is faced with a decision: to trust his life-long Persian friend Philip and accept his help or treat him as an enemy because he is Persian.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
