animeTitle	Fastening Days
animeType	ONA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.44
animeUsers	2442
animeRank	
animePopularity	6687
animeDescription	"Yoji and Kei, a boy and girl,  live in a town in the not-so-distant future with their foster parent, Anna. But these seemingly ordinary children have a secret hidden even from their unsuspecting mother.

Yoji and Kei are superhero defenders of their town! With a flap of their capes, the two of them and their robot bear sidekick,  Oscar, protect the citizens in their town with their handmade high-tech machinery. But from what menace? And will our little heroes be able to overcome the  crisis about to threaten the town's peaceful everyday serenity?

Check out this utterly electrifying near-future animation to find out!

(Source: Official website)"
animeRelated	['Fastening Days 2']
animeCharacters	['Kei', 'Youji', 'Anna']
animeVoices	['Shiraishi, Ryouko', 'Ono, Fuyuka', 'Sadaoka, Sayuri']
animeStaff	[['Ishida, Hiroyasu', 'Director'], ['Matsuoka, Hiroki', 'Sound Director'], ['Tanaka, Junichi', 'Script, Original Creator'], ['Perfume', 'Theme Song Performance']]
