animeTitle	Yuan Long
animeType	ONA
animeNumEpisode	16
releaseDate	2020-07-11 00:00:00
endDate	2020-10-03 00:00:00
animeNumMembers	
animeScore	7.32
animeUsers	921
animeRank	
animePopularity	9208
animeDescription	"Special Forces Wang Sheng traveled to the soul world and was possessed by the waste carp Yuan soul, becoming a veritable waste person in the soul world. Wang Sheng used the knowledge he had learned in the world of master spirits like Yun Yuan to pass the battle, and even found a way to evolve the waste carp Yuan soul! The sparrow becomes a phoenix, and the carp leaps to the dragon gate. Wang Sheng has embarked on a road of Jackie Chan from the sinister soul dispute!

(Source: Immortal Sun Scans)"
animeRelated	['Yuan Long 2nd Season']
animeCharacters	['Wang, Sheng']
animeVoices	[]
animeStaff	[]
