animeTitle	b'Mini Toji'
animeType	b'TV'
animeNumEpisode	10
releaseDate	
endDate	
animeNumMembers	
animeScore	6.14
animeUsers	2058
animeRank	
animePopularity	
animeDescription	"b""Do the girls' daily lives include fighting and not fighting? All characters from the TV animated series Toji no Miko and smartphone game Toji no Miko: Kizamishi Issen no Tomoshibi are gathered together in smaller form!\n\n(Source: Crunchyroll, edited)"""
animeRelated	"[b'Toji no Miko', b'Mini Toji: Kanami-Mihono no ""Toji Miko Taidou-hen"" 205-byou de Shoukai Tokuban!', b'Mini Toji: Yume']"
animeCharacters	[b'Juujou, Hiyori', b'Etou, Kanami', b'Itomi, Sayaka', b'Yanase, Mai', b'Asakura, Mihono', b'Mashiko, Kaoru', b'Konohana, Suzuka', b'Kohagura, Eren', b'Origami, Yukari', b'Satsuki, Yomi']
animeVoices	[b'\nOonishi, Saori\nJapanese\n', b'\nHondo, Kaede\nJapanese\n', b'\nKino, Hina\nJapanese\n', b'\nWaki, Azumi\nJapanese\n', b'\nMatsuda, Risae\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNobuta, Yuu\n\nDirector\n\n', b'\nAkashiro, Aoi\n\nScript, Series Composition\n\n', b'\nHondo, Kaede\n\nTheme Song Performance\n\n', b'\nAkaneya, Himika\n\nTheme Song Performance\n\n']
